"local_site","DateTime","mmt_num","SM"
"MRS1",2018-05-13 08:00:00,5,0.2436
"MRS1",2018-05-13 09:00:00,1,0.1027
"MRS1",2018-05-13 09:00:00,2,0.1746
"MRS1",2018-05-13 09:00:00,3,0.062
"MRS1",2018-05-13 09:00:00,4,0.1485
"MRS1",2018-05-13 09:00:00,5,0.2436
"MRS1",2018-05-13 10:00:00,1,0.1012
"MRS1",2018-05-13 10:00:00,2,0.1761
"MRS1",2018-05-13 10:00:00,3,0.0628
"MRS1",2018-05-13 10:00:00,4,0.1477
"MRS1",2018-05-13 10:00:00,5,0.2436
"MRS1",2018-05-13 11:00:00,1,0.0998
"MRS1",2018-05-13 11:00:00,2,0.1761
"MRS1",2018-05-13 11:00:00,3,0.0613
"MRS1",2018-05-13 11:00:00,4,0.1492
"MRS1",2018-05-13 11:00:00,5,0.2436
"MRS1",2018-05-13 12:00:00,1,0.1012
"MRS1",2018-05-13 12:00:00,2,0.1753
"MRS1",2018-05-13 12:00:00,3,0.0635
"MRS1",2018-05-13 12:00:00,4,0.1499
"MRS1",2018-05-13 12:00:00,5,0.2429
"MRS1",2018-05-13 13:00:00,1,0.0998
"MRS1",2018-05-13 13:00:00,2,0.1753
"MRS1",2018-05-13 13:00:00,3,0.062
"MRS1",2018-05-13 13:00:00,4,0.1485
"MRS1",2018-05-13 13:00:00,5,0.2451
"MRS1",2018-05-13 14:00:00,1,0.1012
"MRS1",2018-05-13 14:00:00,2,0.1746
"MRS1",2018-05-13 14:00:00,3,0.062
"MRS1",2018-05-13 14:00:00,4,0.1477
"MRS1",2018-05-13 14:00:00,5,0.2443
"MRS1",2018-05-13 15:00:00,1,0.1012
"MRS1",2018-05-13 15:00:00,2,0.1753
"MRS1",2018-05-13 15:00:00,3,0.062
"MRS1",2018-05-13 15:00:00,4,0.1477
"MRS1",2018-05-13 15:00:00,5,0.2458
"MRS1",2018-05-13 16:00:00,1,0.1012
"MRS1",2018-05-13 16:00:00,2,0.1753
"MRS1",2018-05-13 16:00:00,3,0.0628
"MRS1",2018-05-13 16:00:00,4,0.1485
"MRS1",2018-05-13 16:00:00,5,0.2458
"MRS1",2018-05-13 17:00:00,1,0.1027
"MRS1",2018-05-13 17:00:00,2,0.1753
"MRS1",2018-05-13 17:00:00,3,0.0635
"MRS1",2018-05-13 17:00:00,4,0.1492
